Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_054004,Hipposideros pomona bat coronavirus CHB25,,"Li,B., Si,H.R., Zhu,Y., Yang,X.L., Anderson,D.E., Shi,Z.L., Wang,L.F., Zhou,P.","National Center for Biotechnology Information, NIH",USA,2023-05-04T00:00:00Z,CHB0025,Alphacoronavirus CHB25,Alphacoronavirus,Coronaviridae,ssRNA(+),28169,RefSeq,complete,,,1,China,China,,Hipposideros larvatus,,2018-03,,"Hipposideros pomona bat coronavirus CHB25 isolate CHB0025, complete genome"
NC_054015,Tylonycteris bat coronavirus HKU33,,"Lau,S.K.P., Wong,A.C.P., Zhang,L., Luk,H.K.H., Kwok,J.S.L., Ahmed,S.S., Cai,J.P., Zhao,P.S.H., Teng,J.L.L., Tsui,S.K.W., Yuen,K.Y., Woo,P.C.Y., Li,K.S.M., Cai,J.-P.","National Center for Biotechnology Information, NIH",USA,2023-05-04T00:00:00Z,,Alphacoronavirus HKU33,Alphacoronavirus,Coronaviridae,ssRNA(+),27636,RefSeq,complete,,,1,China,China,,Tylonycteris robustula,feces,2015-09-09,,"Tylonycteris bat coronavirus HKU33 strain GZ151867, complete genome"
NC_045512,Severe acute respiratory syndrome coronavirus 2,,"Wu,F., Zhao,S., Yu,B., Chen,Y.M., Wang,W., Song,Z.G., Hu,Y., Tao,Z.W., Tian,J.H., Pei,Y.Y., Yuan,M.L., Zhang,Y.L., Dai,F.H., Liu,Y., Wang,Q.M., Zheng,J.J., Xu,L., Holmes,E.C., Zhang,Y.Z., Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Chen,Y.-M., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Zhang,Y.-L., Dai,F.-H., Wang,Q.-M., Zheng,J.-J., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2020-01-13T00:00:00Z,Wuhan-Hu-1,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,RefSeq,complete,,,4,China,China,,Homo sapiens,,2019-12,,"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome"
NC_030886,Rousettus bat coronavirus,,"Obameso,J.O., Li,H., Jia,H., Han,M., Zhu,S., Huang,C., Zhao,Y., Zhao,M., Bai,Y., Yuan,F., Zhao,H., Peng,X., Xu,W., Tan,W., Yuen,K.Y., Liu,W.J., Lu,L., Gao,G.F., Jin,T., Song,J., Shi,Y., Ji,W., Zhou,Y., Wen,H., Liu,H., Wang,Q., Wu,Y., Wang,L., Liu,D., Liu,G., Yu,H., Holmes,E.C., Liu,J., Holmes,E.","National Center for Biotechnology Information, NIH",USA,2016-09-12T00:00:00Z,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Betacoronavirus,Coronaviridae,ssRNA(+),30161,RefSeq,complete,,,2,China,China,,Rousettus leschenaultii,feces,2014-05-28,,"Rousettus bat coronavirus isolate GCCDC1 356, complete genome"
NC_028811,BtMr-AlphaCoV/SAX2011,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2016-01-05T00:00:00Z,BtMr-SAX2011,Myotis ricketti alphacoronavirus Sax-2011,Alphacoronavirus,Coronaviridae,ssRNA(+),27935,RefSeq,complete,,,1,China,China,,Myotis ricketti,,2011,,"BtMr-AlphaCoV/SAX2011, complete genome"
NC_028814,BtRf-AlphaCoV/HuB2013,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2016-01-05T00:00:00Z,BtRf-HuB2013,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,Coronaviridae,ssRNA(+),27608,RefSeq,complete,,,1,China,China,,Rhinolophus ferrumequinum,,2013,,"BtRf-AlphaCoV/HuB2013, complete genome"
NC_028824,BtRf-AlphaCoV/YN2012,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2016-01-05T00:00:00Z,BtRf-YN2012,BtRf-AlphaCoV/YN2012,Alphacoronavirus,Coronaviridae,ssRNA(+),26975,RefSeq,complete,,,1,China,China,,Rhinolophus ferrumequinum,,2012,,"BtRf-AlphaCoV/YN2012, complete genome"
NC_028833,BtNv-AlphaCoV/SC2013,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2016-01-05T00:00:00Z,BtNv-SC2013,Nyctalus velutinus alphacoronavirus SC-2013,Alphacoronavirus,Coronaviridae,ssRNA(+),27783,RefSeq,complete,,,1,China,China,,Nyctalus velutinus,,2013,,"BtNv-AlphaCoV/SC2013, complete genome"
NC_025217,Bat Hp-betacoronavirus/Zhejiang2013,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2014-10-03T00:00:00Z,Zhejiang2013,Bat Hp-betacoronavirus Zhejiang2013,Betacoronavirus,Coronaviridae,ssRNA(+),31491,RefSeq,complete,,,2,China,China,,Hipposideros pratti,,2013-04-29,,"Bat Hp-betacoronavirus/Zhejiang2013, complete genome"
NC_018871,Rousettus bat coronavirus HKU10,,"Lau,S.K., Li,K.S., Tsang,A.K., Shek,C.T., Wang,M., Choi,G.K., Guo,R., Wong,B.H., Poon,R.W., Lam,C.S., Wang,S.Y., Fan,R.Y., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M., Tsang,A.K.L., Shek,C.-T., Choi,G.K.Y., Wong,B.H.L., Poon,R.W.S., Lam,C.S.F., Wang,S.Y.H., Fan,R.Y.Y., Chan,K.-H., Zheng,B.-J., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2012-10-18T00:00:00Z,183A,Bat coronavirus HKU10,Alphacoronavirus,Coronaviridae,ssRNA(+),28494,RefSeq,complete,,,1,China,China,,Chiroptera,,2005-10,,"Rousettus bat coronavirus HKU10, complete genome"
